"SCORE Banks - List of SCORE banks with associated services (FIN, FileAct RealTime, FileAct Store""n""Forward)",,,,,,,
UPDATED SEP2022,,,,,,,
The information provided here is for guidance purposes only and may not be 100% accurate. SWIFT shall not be responsible for any loss whatsoever sustained by any person or business that relies on this information,,,,,,,
,,,,,2231,853,784
BRANCH BIC (BIC8),BRANCH BIC NAME,BRANCH BIC COUNTRY,PARENT BIC,PARENT BIC NAME,FIN,SCORE FileAct Real Time,SCORE FileAct Store & Forward
AACSDE33,SPARKASSE AACHEN,GERMANY,AACSDE33,SPARKASSE AACHEN,YES,,
ABBYGB2L,Santander UK plc,UNITED KINGDOM,ABBYGB2L,BANCO SANTANDER S.A,YES,YES,YES
ABCADEFF,ARAB BANKING CORPORATION SA FRANKFURT BRANCH,GERMANY,ABCADEFF,ARAB BANKING CORPORATION BSC,YES,,
ABCEGB2L,ABC INTERNATIONAL BANK PLC,UNITED KINGDOM,ABCEGB2L,ARAB BANKING CORPORATION BSC,YES,,
ABCOBHBM,ARAB BANKING CORPORATION BSC,BAHRAIN,ABCOBHBM,ARAB BANKING CORPORATION BSC,YES,YES,YES
ABCOFRPP,ARAB BANKING CORPORATION SA,FRANCE,ABCOFRPP,ARAB BANKING CORPORATION BSC,YES,,
ABCOITMM,ARAB BANKING CORPORATION SA MILAN BRANCH,ITALY,ABCOITMM,ARAB BANKING CORPORATION BSC,YES,,
ABCOUS33,ARAB BANKING CORPORATION,UNITED STATES,ABCOUS33,ARAB BANKING CORPORATION BSC,YES,,
ABDIAEAD,ABU DHABI ISLAMIC BANK,UNITED ARAB EMIRATES,ABDIAEAD,ABU DHABI ISLAMIC BANK,YES,YES,YES
ABKKAEAD,AL AHLI BANK OF KUWAIT K.S.C.P DUBAI BRANCH,UNITED ARAB EMIRATES,ABKKAEAD,AL AHLI BANK OF KUWAIT K.S.C.P,YES,,
ABKKKWKW,AL AHLI BANK OF KUWAIT K.S.C.P,KUWAIT,ABKKKWKW,AL AHLI BANK OF KUWAIT K.S.C.P,YES,,
ABMZMZMA,"ABSA BANK MOCAMBIQUE, SA",MOZAMBIQUE,ABMZMZMA,ABSA BANK LIMITED,YES,,
ABNAINBB,"NATWEST MARKETS PLC, INDIA BRANCH",INDIA,ABNAINBB,NATIONAL WESTMINSTER BANK PLC,YES,,
ABNANL2A,ABN AMRO BANK N.V,NETHERLANDS,ABNANL2A,ABN AMRO BANK N.V,YES,YES,YES
ABNASG2A,"ABN AMRO BANK N.V, SINGAPORE BRANCH",SINGAPORE,ABNASG2A,ABN AMRO BANK N.V,YES,,
ABNCNL2A,ABN AMRO CLEARING BANK N.V.,NETHERLANDS,ABNCNL2A,ABN AMRO BANK N.V,YES,,
ABNGGB2L,THE ACCESS BANK UK LIMITED,UNITED KINGDOM,ABNGGB2L,ACCESS BANK PLC,YES,,
ABNGNGLA,ACCESS BANK PLC,NIGERIA,ABNGNGLA,ACCESS BANK PLC,YES,YES,YES
ABOCCNBJ,THE AGRICULTURAL BANK OF CHINA,CHINA,ABOCCNBJ,THE AGRICULTURAL BANK OF CHINA,YES,YES,YES
ABOCDEFF,AGRICULTURAL BANK OF CHINA FRANKFURT BRANCH,GERMANY,ABOCDEFF,THE AGRICULTURAL BANK OF CHINA,YES,,
ABOCHKHH,AGRICULTURAL BANK OF CHINA LIMITED HONG KONG BRANCH,HONG KONG,ABOCHKHH,THE AGRICULTURAL BANK OF CHINA,YES,,
ABPAPKKA,"ALLIED BANK LIMITED ABL Head Office (HOL), 6th Floor",PAKISTAN,ABPAPKKA,"ALLIED BANK LIMITED ABL Head Office (HOL), 6th Floor",YES,,
ABQQQAQA,Ahli Bank QSC,QATAR,ABQQQAQA,Ahli Bank QSC,YES,,
ABSAZAJJ,ABSA BANK LIMITED,SOUTH AFRICA,ABSAZAJJ,ABSA BANK LIMITED,YES,YES,YES
ABSBBA22,Sparkasse Bank dd BiH,BOSNIA AND HERZEGOVINA,ABSBBA22,Sparkasse Bank dd BiH,YES,,
ABSGCHGG,S.P. HINDUJA BANQUE PRIVEE SA,SWITZERLAND,ABSGCHGG,S.P. HINDUJA BANQUE PRIVEE SA,YES,,
ACCCGHAC,CALBANK PLC,GHANA,ACCCGHAC,CALBANK PLC,YES,,
ACLBKHPP,ACLEDA BANK PLC. Mr Cheam Teang,CAMBODIA,ACLBKHPP,ACLEDA BANK PLC. Mr Cheam Teang,YES,YES,YES
ADCBAEAA,ABU DHABI COMMERCIAL BANK,UNITED ARAB EMIRATES,ADCBAEAA,ABU DHABI COMMERCIAL BANK,YES,YES,YES
ADIBUS33,FIRST ABU DHABI BANK USA N.V.,UNITED STATES,ADIBUS33,FIRST ABU DHABI BANK PJSC,,YES,YES
ADICAEAA,ABU DHABI INVESTMENT COMPANY,UNITED ARAB EMIRATES,ADICAEAA,ABU DHABI INVESTMENT COMPANY,YES,,
AEBAGRAA,AEGEAN BALTIC BANK S.A.,GREECE,AEBAGRAA,AEGEAN BALTIC BANK S.A.,YES,,
AEFAUS44,"COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC",UNITED STATES,AEFAUS44,"COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC",YES,,
AEGBRUMM,AMERICAN EXPRESS BANK LLC,RUSSIAN FEDERATION,AEGBRUMM,AMERICAN EXPRESS BANK LLC,YES,YES,YES
AFEIUS6L,"ASSOCIATED FOREIGN EXCHANGE, INC",UNITED STATES,AFEIUS6L,CAMBRIDGE MERCANTILE CORP.,YES,,
AFIBAFKA,AFGHANISTAN INTERNATIONAL BANK,AFGHANISTAN,AFIBAFKA,AFGHANISTAN INTERNATIONAL BANK,YES,YES,
